	root	phylum	class	order	family	genus
4	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Simonsiella
10	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
11	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
12	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
43	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
66	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
94	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__ClostridialesFamilyXI.IncertaeSedis	
104	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	Abiotrophia
107	NA	NA	NA	NA	NA	NA
114	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
118	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
119	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
124	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
128	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
132	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
146	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
153	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
176	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
191	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
223	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
225	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
