	root	phylum	class	order	family	genus
10	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
11	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
12	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
40	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
77	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
94	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__ClostridialesFamilyXI.IncertaeSedis	
104	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	Abiotrophia
107	NA	NA	NA	NA	NA	NA
119	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
128	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
132	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
141	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
142	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
146	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
176	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
191	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
223	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
225	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
261	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
277	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
291	NA	NA	NA	NA	NA	NA
292	NA	NA	NA	NA	NA	NA
293	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
303	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
312	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
323	Root	Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	Atopobium
330	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
335	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
336	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
367	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
373	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
386	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
420	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
440	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
447	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
470	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
481	Root	Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	Lautropia
491	Root	Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	Gemella
507	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
516	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
517	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Tannerella
518	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
523	NA	NA	NA	NA	NA	NA
524	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	Rothia
536	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
538	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
547	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
555	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
557	Root	Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	Atopobium
558	NA	NA	NA	NA	NA	NA
562	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
569	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
578	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
579	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
580	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
599	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	Eubacterium
602	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__ClostridialesFamilyXI.IncertaeSedis	
603	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
608	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
609	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
614	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
